,Ironmongery Set,Mapped Ironmongery Set,Comparison
783,G07,0,False
784,1,1,True
785,1,1,True
786,1,1,True
787,1,1,True
788,04b,04b,True
789,1,1,True
790,1,1,True
791,1,1,True
792,1,1,True
793,1,1,True
794,1,1,True
795,G07,0,False
796,1,1,True
797,1,1,True
798,1,1,True
799,G07,0,False
800,1,1,True
801,1,1,True
802,1,1,True
803,1,1,True
804,08h,08h,True
805,06b,06b,True
806,1,1,True
807,G07,0,False
808,12*,12*,True
809,06b,06b,True
810,6,6,True
811,33a,33a,True
812,03b,03b,True
813,17b,17b,True
814,05cDA,05cDA,True
815,05cDA,05cDA,True
816,05cDA,05cDA,True
817,05cDA+,05cDA+,True
818,05cDA,05cDA,True
819,05cDA,05cDA,True
820,05cDA,05cDA,True
821,05cDA,05cDA,True
822,05cDA,05cDA,True
823,05cDA,05cDA,True
824,05cDA,05cDA,True
825,05cDA+,05cDA+,True
826,05cDA,05cDA,True
827,17c,17c,True
828,06a,06a,True
829,21dDA,21dDA,True
830,03b,03b,True
831,05a,05a,True
832,03b,03b,True
833,03b,03b,True
834,06a,06a,True
835,03c,03c,True
836,21dDA,21dDA,True
837,20a,20a,True
838,20a,20a,True
839,1,1,True
840,1,1,True
841,1,1,True
842,1,1,True
843,1,1,True
844,1,1,True
845,1,1,True
846,1,1,True
847,1,1,True
848,1,1,True
849,1,1,True
850,1,1,True
851,1,1,True
852,1,1,True
853,1,1,True
854,1,1,True
855,1,1,True
856,1,1,True
857,1,1,True
858,1,1,True
859,1,1,True
860,1,1,True
861,4,4,True
862,12*,12*,True
863,12*,12*,True
864,06b,06b,True
865,06b,06b,True
866,06b,06b,True
867,04b,04b,True
868,06b,06b,True
869,06b,06b,True
870,06b,06b,True
871,06b,06b,True
872,06b,06b,True
873,1,1,True
874,1,1,True
875,1,1,True
876,1,1,True
877,1,1,True
878,1,1,True
879,1,1,True
880,1,1,True
881,G07,0,False
882,06b,06b,True
883,12*,12*,True
884,12e*,12e*,True
885,1,1,True
886,4,4,True
887,1,1,True
888,1,1,True
889,1,1,True
890,12*,12*,True
891,12e*,12e*,True
892,06b,06b,True
893,33a,33a,True
894,22b*,22b*,True
895,30a,30a,True
896,30a,30a,True
897,06b,06b,True
898,06b,06b,True
899,1,1,True
900,06b,06b,True
901,1,1,True
902,1,1,True
903,1,1,True
904,1,1,True
905,1,1,True
906,1,1,True
907,1,1,True
908,1,1,True
909,1,1,True
910,12e*,12e*,True
911,3,3,True
912,3,3,True
913,1,1,True
914,1,1,True
915,1,1,True
916,1,1,True
917,1,1,True
918,1,1,True
919,1,1,True
920,1,1,True
921,1,1,True
922,1,1,True
923,1,1,True
924,1,1,True
925,03DA,03DA,True
926,1,1,True
927,1,1,True
928,03b,03b,True
929,1,1,True
930,03b,03b,True
931,03b,03b,True
932,05a,05a,True
933,03b,03b,True
934,1,1,True
935,1,1,True
936,1,1,True
937,1,1,True
938,1,1,True
939,1,1,True
940,1,1,True
941,1,1,True
942,1,1,True
943,1,1,True
944,1,1,True
945,1,1,True
946,1,1,True
947,1,1,True
948,1,1,True
949,1,1,True
950,1,1,True
951,1,1,True
952,1,1,True
953,nan,31,True
954,nan,31,True
955,11b*,11b*,True
956,nan,4,True
957,nan,12e,True
958,nan,24a,False
959,nan,17,True
960,17e,17e,True
961,8,8,True
962,08*DA,08*DA,True
963,11fDA,11fDA,True
964,11fDA,11fDA,True
965,08l,08l,True
966,nan,09a,True
967,nan,09a,True
968,nan,09a,True
969,nan,08g,True
970,33a*,33a*,True
971,nan,09a,True
972,09a,09a,True
973,nan,09a,True
974,nan,09a,True
975,nan,09a,True
976,nan,24b,False
977,nan,08jDA,False
978,nan,11fDA,True
979,nan,09a,True
980,nan,09a,True
981,nan,09a,True
982,nan,09a,True
983,nan,09a,True
984,nan,09a,True
985,09a,09a,True
986,nan,09a,True
987,09a,09a,True
988,nan,09a,True
989,nan,09a,True
990,nan,6,True
991,nan,17b,True
992,nan,22,True
993,12b,12b,True
994,nan,12b,True
995,nan,12b,True
996,17b,17b,True
997,17b,17b,True
998,09a,09a,True
999,17a,17a,True
1000,nan,12c,True
1001,11p,11p,True
1002,12c,12c,True
1003,12,12,True
1004,nan,42,True
1005,nan,17b,True
1006,7,7,True
1007,nan,09a,True
1008,11gDA,11gDA,True
1009,nan,21gDA,True
1010,12c,12c,True
1011,nan,12c,True
1012,nan,17b,True
1013,nan,33c,False
1014,08*DA,08*DA,True
1015,09c,09c,True
1016,11q,11q,True
1017,31,31,True
1018,nan,12e,True
1019,22,22,True
1020,nan,11d,True
1021,nan,22,True
1022,31,31,True
1023,nan,09a,True
1024,nan,09a,True
